Node ID,xaxis,yaxis,Genename,size,color
chr19:49977930-49978930:+,-0.127828704,5.770921826,FLT3LG,4.178803153,CLL+UVM
chr1:179835005-179846373:-,-0.126392999,8.140050038,TOR1AIP2,4.068479738,CLL+UVM
chr7:150747344-150747543:+,-0.124939875,2.805599218,ASIC3,1.256339753,CLL
chr7:99752805-99752884:-,-0.123266123,7.509444541,C7orf43,4.256339753,CLL+UVM
chr15:65962545-65964129:-,-0.121829949,1.718338903,DENND4A,1.662965013,CLL+UVM
chr11:62648920-62649352:+,-0.121720961,10.7163076,SLC3A2,8.627736524,CLL+UVM
chr8:66557020-66582085:+,-0.119826253,2.686443544,MTFR1,1.852442812,CLL+UVM
chr2:242403396-242405071:+,-0.119507826,14.19341746,FARP2,3.591626231,backgroud
chr13:103422451-103426031:-,-0.119080469,2.645787331,TEX30,1.353636955,CLL+UVM
chr22:19044700-19050714:-,-0.116368425,10.34809034,DGCR2,4.554588852,CLL+UVM
chr10:133782837-133784141:-,-0.115889218,6.062548364,BNIP3,4.101538026,CLL+UVM
chr5:148386656-148388413:-,-0.115754102,1.955252701,SH3TC2,1.152003093,UVM
chr3:37850385-37862504:-,-0.115015995,1.931146033,ITGA9-AS1,1.039528364,UVM
chr19:23545542-23556543:-,-0.114469137,16.83529645,ZNF91,5.493633103,CLL
chrX:49036186-49040186:-,-0.114253468,5.502284288,PRICKLE3,2.748938236,CLL+UVM
chr7:44012316-44012808:-,-0.113455745,2.447187422,POLR2J4,1.353636955,CLL+UVM
chr17:34854422-34854918:-,-0.112553356,2.028147561,Not known,1.321928095,CLL+UVM
chr9:35608507-35608842:+,-0.11187164,7.149106882,TESK1,4.321928095,CLL+UVM
chr17:4796064-4796240:+,-0.111809753,4.828149068,MINK1,2.544320516,CLL+UVM
chr10:34985369-35103803:-,-0.110913885,2.390475369,PARD3,1.807354922,UVM
chr3:135759805-135768085:+,-0.109728193,2.712321927,PPP2R3A,1.353636955,UVM
chr5:54968542-54993673:-,-0.108044908,3.510594675,SLC38A9,1.222392421,CLL+UVM
chr4:84378112-84379477:+,-0.106161151,8.447707237,MRPS18C,5.122396631,CLL+UVM
chr5:87581669-87582687:+,-0.105259429,3.015599077,TMEM161B-AS1,1.38466385,CLL+UVM
chr10:99219233-99219415:-,-0.103389886,13.96102478,MMS19,4.48112669,backgroud
chr9:114326555-114332370:-,-0.103314567,3.511562635,PTGR1,1.760812336,UVM
chr17:18863966-18872347:+,-0.102952208,2.796709729,SLC5A10,2.688055994,UVM
chr1:150974780-150978787:-,-0.102889627,5.89238868,FAM63A,3.256339753,UVM
chr12:50062351-50100837:-,-0.102526406,2.896377361,FMNL3,1.187627003,CLL+UVM
chr1:156705702-156706410:+,-0.101988472,3.514075637,RRNAD1,6.007494537,CLL+UVM
chr6:41040824-41046743:+,-0.101667088,8.774326778,NFYA,3.852442812,CLL+UVM
chr15:23283431-23285704:-,-0.099579974,6.511043057,Not known,2.415037499,CLL
chr17:18602589-18602659:+,-0.099314979,0.274166957,TRIM16L,1.415037499,UVM
chr9:103004962-103008886:+,-0.099162129,3.58724305,INVS,2.459431619,CLL
chr2:20526213-20527070:-,-0.098945491,2.623853166,PUM2,0.830074999,backgroud
chr2:220082530-220082846:-,-0.097890081,0.169138207,ABCB6,5.154255545,backgroud
chr2:27822546-27822819:+,-0.096957772,8.945800035,ZNF512,2.795859283,backgroud
chr14:105176526-105177255:+,-0.096426659,7.246752517,INF2,4.601564468,CLL+UVM
chrX:47059014-47059808:+,-0.095197052,11.87133489,UBA1,4.763765654,CLL+UVM
chr5:54566334-54566405:-,-0.094165217,3.993629379,DHX29,2.488286481,CLL+UVM
chr10:50952187-50952695:-,-0.093425936,2.462867569,OGDHL,1.807354922,UVM
chr1:113247812-113249699:-,-0.092722023,2.525061342,RHOC,1.152003093,CLL+UVM
chr16:70499080-70500019:+,-0.091714931,3.957965858,FUK,2.115477217,CLL+UVM
chr20:33703762-33706400:-,-0.09080632,7.526838483,EDEM2,3.712718048,CLL+UVM
chr1:27852397-27856796:+,-0.090420074,2.944888761,Not known,2.058893689,backgroud
chr19:40871838-40872304:+,-0.090210268,1.638025585,PLD3,1.938599455,UVM
chr19:49364772-49364876:-,-0.089944274,0.636808008,PLEKHA4,3.429987841,UVM
chr21:27107890-27113871:+,-0.087829115,4.446916677,GABPA,3.429987841,CLL+UVM
chr17:63010963-63014370:-,-0.087301304,1.908044061,GNA13,1.637429921,CLL+UVM
chr7:94157563-94162500:+,-0.08625917,9.371543974,CASD1,4.513069582,CLL+UVM
chr5:149379898-149380036:-,-0.086145741,4.400057682,TIGD6,2.571541985,CLL
chr1:35871070-35873587:+,-0.086012223,5.458653291,ZMYM4,2.169925001,CLL+UVM
chr7:107207632-107211572:+,-0.084401328,3.531366891,DUS4L,1.896164189,CLL+UVM
chr13:103297360-103298629:+,-0.082910782,7.948245186,TPP2,3.656623486,CLL+UVM
chr13:48615253-48619779:+,-0.082209888,1.543655477,NUDT15,0.784271309,CLL+UVM
chr16:685023-685280:-,-0.081173481,7.136888381,C16orf13,3.169925001,CLL+UVM
chr2:105713783-105716106:+,-0.080427965,6.711317581,MRPS9,3.730941807,CLL+UVM
chr16:90104257-90106693:+,-0.078699352,5.631106715,GAS8,3.078002512,CLL+UVM
chr1:215741112-215747111:+,-0.078068198,1.162919683,KCTD3,0.637429921,UVM
chr11:3697620-3697738:-,-0.07768479,6.839698762,NUP98,3.591626231,CLL+UVM
chr9:125759641-125760854:+,-0.076344628,6.597362254,RABGAP1,2.830074999,CLL+UVM
chr12:85261852-85264256:-,-0.076154006,2.127361281,Not known,2.624490865,UVM
chr11:4104213-4104471:+,-0.075311245,13.25664024,STIM1,4.896164189,CLL+UVM
chr2:242194912-242195598:-,-0.074770324,4.809289021,HDLBP,2.399930607,CLL+UVM
chr1:35917393-35919157:-,-0.074552903,4.183853782,KIAA0319L,3.087462841,CLL+UVM
chr11:64877396-64877934:+,-0.0744189,10.61428968,VPS51,6.713481985,CLL+UVM
chr10:124249143-124266191:+,-0.074258469,2.833410271,HTRA1,2.20511443,UVM
chr2:208607067-208611755:+,-0.074068086,2.888206699,CCNYL1,1.874469118,CLL+UVM
chr2:32614012-32617091:+,-0.074014185,3.057155813,BIRC6,2.169925001,CLL
chr13:39605783-39608267:-,-0.073987542,2.914872597,PROSER1,1.473931188,CLL+UVM
chr7:23313234-23313672:+,-0.073201014,3.222576662,GPNMB,7.695421643,UVM
chr1:43282277-43282860:-,-0.073013696,2.714371833,SVBP,2.959358016,CLL+UVM
chr16:67428986-67429089:-,-0.07159913,1.254775799,ZDHHC1,2.516575526,UVM
chr1:109480839-109482257:-,-0.071559581,2.644506621,CLCC1,1.38466385,CLL+UVM
chr15:74740929-74741526:-,-0.071476904,3.152562217,UBL7,5.992466327,CLL+UVM
chr7:30475713-30477188:-,-0.07137795,3.514075637,NOD1,1.611434712,CLL+UVM
chr21:45538715-45539249:+,-0.071159004,9.145827303,PWP2,3.230954435,CLL+UVM
chr6:43006223-43006303:-,-0.069693846,4.447030311,CUL7,5.14068778,CLL+UVM
chr10:103360620-103360926:+,-0.06945043,4.499886474,DPCD,2.662965013,CLL+UVM
chr19:1482577-1482894:-,-0.069251769,1.571478607,PCSK4,1.152003093,UVM
chr9:129154475-129157833:+,-0.068887523,2.848587638,MVB12B,1.557995453,CLL+UVM
chr6:42897460-42903274:+,-0.068837054,1.235105168,CNPY3,1.959358016,CLL+UVM
chr16:14966187-14968874:+,-0.066600714,5.92512044,NOMO1,2.415037499,CLL+UVM
chr8:6263910-6264048:-,-0.064010721,3.360374007,Not known,1.38466385,backgroud
chr5:138738503-138739632:-,-0.063626177,4.478352455,SPATA24,2,CLL+UVM
chr9:2158595-2159791:+,-0.062703084,2.473120359,SMARCA2,0.91753784,UVM
chr10:5978551-5979047:+,-0.062216956,4.000277452,FBXO18,3.662965013,CLL+UVM
chr19:52472399-52477598:-,-0.0613906,2.869699901,ZNF350,2.928107082,CLL+UVM
chr10:5497082-5498027:+,-0.061263012,5.140526757,NET1,2.959358016,CLL+UVM
chr11:505023-507112:-,-0.061224851,2.134141085,RNH1,2.019899557,CLL+UVM
chr3:19987758-19988410:-,-0.061206897,5.229557882,EFHB,1.584962501,backgroud
chr5:145883103-145883371:+,-0.06080957,5.617409354,TCERG1,2.444784843,CLL+UVM
chr13:113864403-113873243:+,-0.060559414,3.653273609,CUL4A,2.239465935,CLL+UVM
chr1:153751362-153751571:+,-0.060511191,5.889643619,SLC27A3,2.772589504,CLL+UVM
chr5:79284490-79284974:-,-0.059388154,2.087667369,MTX3,1.830074999,CLL
chr5:86665718-86667916:+,-0.059020564,1.639164055,RASA1,2.598259323,CLL+UVM
chr12:51174022-51189680:+,-0.058016386,5.53249041,ATF1,2.969626351,CLL+UVM
chr16:15129411-15129852:+,-0.05770769,6.63082022,PDXDC1,3.516575526,CLL+UVM
chr14:67864565-67878734:-,-0.057481966,1.965773708,PLEK2,1.152003093,UVM
chr4:74013164-74014529:-,-0.057068737,2.080984683,ANKRD17,2.096861539,CLL+UVM
chr8:109462166-109462629:+,-0.056413388,3.698583664,EMC2,2.91753784,CLL+UVM
chr3:112724878-112727017:-,-0.056401073,3.804702204,C3orf17,2.760812336,CLL+UVM
chr15:66820251-66821173:+,-0.055601122,2.761556037,ZWILCH,1.736965594,CLL+UVM
chr16:70292148-70292882:-,-0.05443333,4.939361954,AARS,4.039528364,CLL+UVM
chr12:111947439-111947694:-,-0.054258307,4.440686884,ATXN2,1.353636955,CLL+UVM
chr3:129238576-129239004:+,-0.053791266,3.157037679,IFT122,1.784271309,CLL+UVM
chr4:113153331-113174342:+,-0.053520039,2.74521098,AP1AR,0.959358016,CLL+UVM
chr17:79556146-79563141:-,-0.053209668,11.87133489,NPLOC4,3.807354922,CLL+UVM
chr1:43870222-43880731:+,-0.053133854,3.218793765,SZT2,2.133855747,CLL
chrX:153699661-153699819:+,-0.053039303,9.186141447,PLXNA3,3.361456459,CLL+UVM
chr2:39285969-39294768:-,-0.052931312,1.812648552,SOS1,2.096861539,CLL+UVM
chr5:175875472-175880078:+,-0.052693603,3.72091367,FAF2,1.187627003,backgroud
chr1:109235490-109235804:+,-0.052636961,1.920787933,PRPF38B,3.20511443,CLL
chr15:40849590-40854970:-,-0.052605199,4.777073798,C15orf57,4.235216462,CLL+UVM
chr1:156128278-156128492:+,-0.052210608,1.996643457,SEMA4A,4.024831853,CLL+UVM
chr9:127652776-127660827:-,-0.052023609,3.368693164,GOLGA1,2.039528364,CLL+UVM
chr17:17062317-17064532:+,-0.051865108,6.023880028,MPRIP,3.928107082,CLL+UVM
chr19:42866366-42866517:+,-0.051293621,3.873995023,MEGF8,1.91753784,CLL+UVM
chr2:160253916-160255339:-,-0.051083964,2.522836856,BAZ2B,1.38466385,CLL+UVM
chr16:67174498-67178175:+,-0.050694002,2.05160381,C16orf70,1,CLL+UVM
chr14:20872953-20873609:-,-0.050334162,1.540297895,TEP1,1.444784843,CLL
chr20:37191341-37193982:+,-0.050206928,3.027213419,RALGAPB,0.91753784,CLL+UVM
chr10:126660688-126662195:+,-0.050175306,6.28036104,ZRANB1,2.337869639,CLL+UVM
chr5:54922502-54923718:-,-0.049238404,7.921645504,SLC38A9,2.273018494,CLL+UVM
chr6:30656738-30657052:-,-0.049108751,3.426955677,NRM,1.91753784,CLL+UVM
chr9:74978548-74979611:-,-0.048624461,5.393827004,ZFAND5,3.196397213,CLL+UVM
chr6:348842-350802:+,-0.048236225,6.369696103,DUSP22,3.502500341,CLL+UVM
chr16:56548608-56553657:-,-0.048187297,5.0211713,BBS2,1.736965594,CLL+UVM
chr8:21959363-21959655:+,-0.048081769,5.367364958,FAM160B2,2.807354922,CLL+UVM
chr11:6470700-6471780:-,-0.047014529,3.842922008,TRIM3,1.852442812,CLL+UVM
chr1:231697002-231700217:+,-0.046767817,1.684251481,TSNAX,1.784271309,CLL+UVM
chr7:66483131-66489872:+,-0.046722282,2.624051557,TYW1,1.662965013,CLL+UVM
chr9:128113152-128116917:+,-0.046606118,2.077712134,GAPVD1,0.874469118,CLL+UVM
chr17:16344445-16344670:+,-0.046532379,11.98398529,LRRC75A-AS1,10.11591065,CLL+UVM
chr3:113003415-113003526:+,-0.04640989,0.617044955,BOC,1.688055994,UVM
chr6:43110038-43111133:+,-0.04553083,4.208495052,PTK7,2.938599455,UVM
chr3:131181738-131186934:-,-0.045379817,4.132078658,MRPL3,3.329920886,CLL+UVM
chr1:32573736-32620169:+,-0.045339239,2.88618123,KPNA6,1.611434712,CLL+UVM
chr12:3390984-3392189:+,-0.044874366,3.064908501,TSPAN9,1.760812336,UVM
chr13:45841512-45857556:+,-0.044594609,6.579232897,GTF2F2,3.509555098,CLL+UVM
chr21:45457809-45472142:+,-0.044561235,2.089275803,TRAPPC10,1.807354922,CLL+UVM
chr15:99456512-99459168:+,-0.044412981,3.461240144,IGF1R,1.938599455,UVM
chr19:50149460-50149761:+,-0.04407914,4.481641751,SCAF1,2.885357434,CLL+UVM
chr10:99683182-99695926:-,-0.043610298,3.65153093,Not known,5.763765654,UVM
chr1:20827930-20828561:-,-0.043069154,4.247670786,MUL1,1.852442812,CLL+UVM
chr1:36784766-36784849:+,-0.042943466,7.715619043,SH3D21,3.068479738,CLL+UVM
chr10:135116503-135122326:-,-0.042725046,5.006676379,TUBGCP2,3.376969458,CLL+UVM
chr5:150411956-150413168:-,-0.042702957,12.56750886,TNIP1,4.584962501,CLL+UVM
chr17:2371189-2376817:-,-0.042690293,2.345381927,METTL16,1.222392421,CLL+UVM
chr20:62577342-62577513:-,-0.042643929,6.208463554,UCKL1,5.103870598,CLL+UVM
chr1:113247768-113249699:-,-0.042641781,3.222576662,RHOC,1.353636955,CLL+UVM
chr14:24707612-24707820:+,-0.042552716,3.499359898,GMPR2,1.321928095,CLL+UVM
chr12:57686446-57689181:-,-0.04220041,6.392131228,R3HDM2,2.273018494,CLL+UVM
chr14:52192589-52194435:+,-0.042149426,2.171189776,FRMD6,1.078002512,UVM
chr2:74754268-74754374:-,-0.04148739,1.730502567,AUP1,1.557995453,CLL+UVM
chr17:58022880-58023893:+,-0.040868038,3.051118452,Not known,1.662965013,CLL+UVM
chrX:62736981-62780711:-,-0.040636045,3.947084909,LINC01278,1.473931188,CLL+UVM
chr2:202263094-202264099:-,-0.040432006,2.510500067,TRAK2,2.36923381,CLL+UVM
chr2:202339479-202340328:+,-0.040319119,2.36561221,STRADB,2.273018494,CLL+UVM
chr22:44559811-44564460:+,-0.040267841,5.6672567,PARVB,5.14974712,CLL+UVM
chr3:155546181-155547476:-,-0.040256581,3.193784342,SLC33A1,1.712718048,CLL+UVM
chr9:33933645-33935836:-,-0.039781169,4.73748669,UBAP2,2.979822118,CLL+UVM
chrX:23899088-23925810:-,-0.039208919,4.43815483,APOO,2.415037499,CLL+UVM
chr17:57148330-57153007:-,-0.039106652,5.888310222,TRIM37,2.611434712,CLL+UVM
chr5:132159234-132159314:-,-0.0386661,1.320517426,SHROOM1,1.736965594,UVM
chr14:102874957-102880958:+,-0.038226891,3.664039269,TECPR2,1.115477217,CLL+UVM
chr11:118940055-118940139:+,-0.038000734,2.729718803,VPS11,2.969626351,CLL+UVM
chr1:1233509-1233749:-,-0.037884727,4.558941652,ACAP3,1.852442812,CLL+UVM
chr5:44813385-44814996:+,-0.037628083,4.527605541,MRPS30,2.712718048,CLL+UVM
chr10:98709053-98711837:+,-0.037369784,0.695812317,LCOR,1.557995453,CLL
chr12:56361954-56362539:+,-0.036911848,6.41399853,CDK2,5.698897553,CLL+UVM
chr7:102074109-102076648:+,-0.036464704,15.38557602,ORAI2,6.825135466,CLL
chr6:25420393-25426695:+,-0.035543166,2.442440098,LRRC16A,1.289506617,CLL+UVM
chr18:47311743-47313660:-,-0.03526899,5.947302262,ACAA2,3.160991877,CLL+UVM
chr17:38063366-38064428:-,-0.035260639,0.737231208,GSDMB,1.321928095,CLL
chr1:235914679-235915304:-,-0.035050155,2.893947384,LYST,3.029747343,CLL+UVM
chr15:42510051-42510520:-,-0.034538819,3.804702204,TMEM87A,2.712718048,CLL+UVM
chr8:37735085-37756588:-,-0.03371534,4.357616067,RAB11FIP1,2.273018494,CLL+UVM
chr7:20793130-20795032:+,-0.033323734,1.420762003,ABCB5,1.38466385,UVM
chr22:50684242-50684338:-,-0.033302562,7.155507513,MAPK12,3.133855747,CLL+UVM
chr11:6425068-6431856:-,-0.032738689,3.829471422,APBB1,3.049243519,CLL+UVM
chr5:95091466-95099190:+,-0.032693476,2.840613102,RHOBTB3,2.321928095,UVM
chr20:37395021-37396088:+,-0.032622729,4.374228461,ACTR5,2.459431619,CLL+UVM
chrX:118544326-118585954:+,-0.03252941,0.714858932,SLC25A43,1.222392421,CLL+UVM
chr17:33319712-33321272:+,-0.032243715,6.656836886,LIG3,2.488286481,CLL+UVM
chrX:20194635-20195113:-,-0.031580837,5.633474108,RPS6KA3,2.337869639,CLL+UVM
chr12:72315235-72316743:+,-0.030806261,6.894043045,TBC1D15,3.329920886,CLL+UVM
chr7:91852309-91855033:-,-0.030756726,2.403301354,KRIT1,0.874469118,CLL+UVM
chr15:52615660-52620048:-,-0.030521326,3.993633009,MYO5A,2.557995453,CLL+UVM
chr12:108917427-108918092:-,-0.030358308,7.074026656,SART3,2.830074999,CLL+UVM
chr17:34147442-34149625:+,-0.029652371,4.546416069,Not known,4.156504486,CLL+UVM
chr2:203160561-203162080:+,-0.029362213,7.834096603,NOP58,4.196397213,CLL+UVM
chr7:138957187-138958026:+,-0.02928821,3.461825675,UBN2,1.444784843,CLL
chr8:48874967-48875305:+,-0.02921076,2.506349706,MCM4,1.152003093,CLL+UVM
chr20:4158225-4162427:+,-0.028993039,2.424282109,SMOX,1.473931188,UVM
chr14:24707612-24707778:+,-0.028934976,4.257610205,GMPR2,3.321928095,CLL+UVM
chr3:8923170-8932072:-,-0.028813801,1.962109375,RAD18,0.959358016,CLL+UVM
chr3:45043101-45046767:+,-0.028765285,6.182076076,CLEC3B,2.700439718,CLL+UVM
chr7:97939917-97941408:-,-0.028654155,2.573690713,BAIAP2L1,1.874469118,UVM
chr11:64900741-64900940:-,-0.02820583,8.480108018,SYVN1,4.243702928,CLL+UVM
chr14:58686448-58690318:+,-0.028058776,3.526777431,ACTR10,2.650253961,CLL+UVM
chr10:75280801-75283340:-,-0.028040092,3.197449595,USP54,1.896164189,backgroud
chr15:42738875-42740269:-,-0.027766701,5.648733284,ZNF106,2.488286481,CLL+UVM
chr4:38907483-38910197:+,-0.027462086,2.731418433,FAM114A1,1.557995453,CLL+UVM
chr7:73791153-73795120:+,-0.027248707,1.78159989,CLIP2,1,UVM
chr5:177649600-177649852:-,-0.027197177,2.95202562,PHYKPL,3.273018494,CLL+UVM
chr20:47841737-47842951:+,-0.02710586,4.799742861,DDX27,2.571541985,CLL+UVM
chr11:48171551-48171633:+,-0.026971072,6.382623351,PTPRJ,2.488286481,CLL+UVM
chr3:39144394-39144963:-,-0.026792694,1.760762938,GORASP1,0.784271309,CLL+UVM
chr6:76357518-76368953:+,-0.026249229,0.756681998,SENP6,0.688055994,CLL+UVM
chr11:46701922-46702036:-,-0.026190075,4.397238931,ARHGAP1,2.624490865,CLL+UVM
chr7:138264278-138265288:+,-0.025685414,1.873253998,TRIM24,0.91753784,CLL+UVM
chr1:113659059-113661834:+,-0.025506164,2.343000358,LRIG2,1.078002512,CLL+UVM
chr20:33934241-33934966:-,-0.025179823,4.687999792,UQCC1,1.736965594,backgroud
chr2:26437446-26437921:-,-0.024944961,9.186141447,HADHA,4.509555098,CLL+UVM
chr1:228289885-228290010:-,-0.024890094,4.377564096,C1orf35,1.611434712,CLL+UVM
chr15:85610436-85619074:+,-0.024832476,2.194187716,PDE8A,0.736965594,CLL+UVM
chr13:53029762-53030637:+,-0.024828793,2.848900527,CKAP2,2.544320516,CLL+UVM
chr2:20511440-20511996:-,-0.024777042,2.095439576,PUM2,1.187627003,CLL+UVM
